in,gib,ksr,mode,model,mlthres,rv_min_ttl,rv_min_freq,rv_max_za,all,hit_fresh,hit_reval,hit_stale,miss_mandatory,miss_expired,miss_evicted,fetches,revals,reval_wasted
fb_c,2048,1,ml,models/v7_fb_rfc.onnx,0.9,0,0,0,96068462,51687332,448259,0,34573735,0,9359136,43932871,546929,93961
fb_c,2048,1,ml,models/v7_fb_rfc.onnx,0.7,0,0,0,96068462,51661612,570133,0,34573735,0,9262982,43836717,120667125,120081541
fb_c,2048,1,ml,models/v7_fb_rfc.onnx,0.95,0,0,0,96068462,51707875,343205,0,34573735,0,9443647,44017382,371995,27461
fb_c,2048,1,ml,models/v7_fb_rfc.onnx,1,0,0,0,96068462,51768377,0,0,34573735,0,9726350,44300085,0,0
wm_t,2048,1,ml,models/v7_fb_rfc.onnx,0.55,0,0,0,197819321,148858283,13489860,0,17895056,0,17576122,35471178,17661091,3851675
wm_t,2048,1,ml,models/v7_fb_rfc.onnx,0.6,0,0,0,197819321,148999722,12734971,0,17895056,0,18189572,36084628,16285287,3268138
wm_t,2048,1,ml,models/v7_fb_rfc.onnx,0.65,0,0,0,197819321,149459539,10277825,0,17895056,0,20186901,38081957,11963178,1520902
wm_t,2048,1,ml,models/v7_fb_rfc.onnx,0.7,0,0,0,197819321,150185231,6557702,0,17895056,0,23181332,41076388,6873675,265524
wm_t,2048,1,ml,models/v7_fb_rfc.onnx,0.75,0,0,0,197819321,150813970,2275626,0,17895056,0,26834669,44729725,2291914,10113
wm_t,2048,1,ml,models/v7_fb_rfc.onnx,0.8,0,0,0,197819321,150948199,18931,0,17895056,0,28957135,46852191,18974,29
wm_t,2048,1,ml,models/v7_fb_rfc.onnx,0.85,0,0,0,197819321,150948566,0,0,17895056,0,28975699,46870755,0,0
wm_t,2048,1,ml,models/v7_fb_rfc.onnx,0.9,0,0,0,197819321,150948566,0,0,17895056,0,28975699,46870755,0,0
wm_t,2048,1,ml,models/v7_fb_rfc.onnx,0.95,0,0,0,197819321,150948566,0,0,17895056,0,28975699,46870755,0,0
wm_t,2048,1,ml,models/v7_fb_rfc.onnx,1,0,0,0,197819321,150948566,0,0,17895056,0,28975699,46870755,0,0
cf_e,2048,1,ml,models/v7_fb_rfc.onnx,0.75,0,0,0,350792453,302092614,1748778,0,31410803,0,15540258,46951061,5607716165,5605960438
cf_g,2048,1,ml,models/v7_fb_rfc.onnx,0.75,0,0,0,305423259,255930750,2805174,0,30637283,0,16050052,46687335,1728035760,1725224911
cf_g,2048,1,ml,models/v7_fb_rfc.onnx,0.7,0,0,0,305423259,255793299,3705795,0,30637283,0,15286882,45924165,6479978899,6476258881
cf_a,2048,1,ml,models/v7_fb_rfc.onnx,0.95,0,0,0,611934080,546199566,58,0,39393977,0,26340479,65734456,7341,7283
cf_a,2048,1,ml,models/v7_fb_rfc.onnx,0.95,0,0,0,611934080,546199566,58,0,39393977,0,26340479,65734456,7341,7283
cf_c,2048,1,ml,models/v7_fb_rfc.onnx,0.6,0,0,0,585034315,479005471,6503188,0,69164776,0,30360880,99525656,6155499387,6148957249
cf_c,2048,1,ml,models/v7_fb_rfc.onnx,0.55,0,0,0,585034315,478837435,7826143,0,69164776,0,29205961,98370737,11730732562,11722849849
