in,gib,ksr,cache_type,mode,model,mlthres,rv_min_ttl,rv_min_freq,rv_max_za,all,hit_fresh,hit_reval,hit_stale,miss_mandatory,miss_expired,miss_evicted,fetches,revals,reval_wasted
cf_d,2048,1,arc,ml,models/v8_cf_rfc.onnx,0.8,0,0,0,633171872,514226685,3821509,0,74905308,0,40218370,115123678,4540172,707621
cf_d,2048,1,arc,ml,models/v8_cf_rfc.onnx,0.85,0,0,0,633171872,514144546,2773926,0,74905308,0,41348092,116253400,3083760,303434
cf_d,2048,1,arc,ml,models/v8_cf_rfc.onnx,0.9,0,0,0,633171872,514058200,1057848,0,74905308,0,43150516,118055824,1146233,85076
cf_d,2048,1,fifo,ml,models/v8_cf_rfc.onnx,0.75,0,0,0,633171872,512209252,5182257,0,74905308,0,40875055,115780363,6662806,1467145
cf_d,2048,1,fifo,ml,models/v8_cf_rfc.onnx,0.9,0,0,0,633171872,513201262,1079941,0,74905308,0,43985361,118890669,1224130,140365
cf_d,2048,1,fifo,ml,models/v8_cf_rfc.onnx,0.8,0,0,0,633171872,512594355,3807073,0,74905308,0,41865136,116770444,4723578,906625
cf_d,2048,1,fifo,ml,models/v8_cf_rfc.onnx,0.85,0,0,0,633171872,512873651,2765264,0,74905308,0,42627649,117532957,3183950,412363
cf_e,2048,1,lru,ml,models/v8_cf_rfc.onnx,0.75,0,0,0,350792453,301813467,2953157,0,31410803,0,14615026,46025829,3559769,597325
cf_e,2048,1,lru,ml,models/v8_cf_rfc.onnx,0.8,0,0,0,350792453,301899543,2340548,0,31410803,0,15141559,46552362,2673390,326098
cf_d,2048,1,arc,ml,models/v8_cf_rfc.onnx,0.95,0,0,0,633171872,513826759,130966,0,74905308,0,44308839,119214147,137447,6128
cf_d,2048,1,arc,ml,models/v8_cf_rfc.onnx,1,0,0,0,633171872,513759120,0,0,74905308,0,44507444,119412752,0,0
cf_d,2048,1,fifo,ml,models/v8_cf_rfc.onnx,0.95,0,0,0,633171872,513540992,163244,0,74905308,0,44562328,119467636,174141,10495
cf_d,2048,1,fifo,ml,models/v8_cf_rfc.onnx,1,0,0,0,633171872,513579420,0,0,74905308,0,44687144,119592452,0,0
cf_d,2048,1,gdsf,ml,models/v8_cf_rfc.onnx,0.75,0,0,0,633171872,528412475,5621576,0,74905308,0,24232513,99137821,7116200,1456500
cf_e,2048,1,lru,ml,models/v8_cf_rfc.onnx,0.85,0,0,0,350792453,302028152,1670737,0,31410803,0,15682761,47093564,1802145,127895
cf_e,2048,1,lru,ml,models/v8_cf_rfc.onnx,0.9,0,0,0,350792453,302156017,819305,0,31410803,0,16406328,47817131,852694,32158
cf_e,2048,1,lru,ml,models/v8_cf_rfc.onnx,1,0,0,0,350792453,302232510,0,0,31410803,0,17149140,48559943,0,0
cf_e,2048,1,lru,ml,models/v8_cf_rfc.onnx,0.95,0,0,0,350792453,302225086,166228,0,31410803,0,16990336,48401139,168172,1855
cf_d,2048,1,gdsf,ml,models/v8_cf_rfc.onnx,0.8,0,0,0,633171872,528595911,4478786,0,74905308,0,25191867,100097175,5424869,916155
cf_d,2048,1,gdsf,ml,models/v8_cf_rfc.onnx,0.85,0,0,0,633171872,528792234,3330548,0,74905308,0,26143782,101049090,3758775,409238
cf_d,2048,1,gdsf,ml,models/v8_cf_rfc.onnx,0.9,0,0,0,633171872,529046611,1450130,0,74905308,0,27769823,102675131,1591590,130904
cf_e,2048,1,sieve,ml,models/v8_cf_rfc.onnx,0.75,0,0,0,350792453,301012893,2990177,0,31410803,0,15378580,46789383,3605463,606313
cf_e,2048,1,sieve,ml,models/v8_cf_rfc.onnx,0.95,0,0,0,350792453,301501646,166291,0,31410803,0,17713713,49124516,168235,1855
cf_e,2048,1,sieve,ml,models/v8_cf_rfc.onnx,0.85,0,0,0,350792453,301295027,1664718,0,31410803,0,16421905,47832708,1796450,128273
cf_e,2048,1,sieve,ml,models/v8_cf_rfc.onnx,0.8,0,0,0,350792453,301137789,2326028,0,31410803,0,15917833,47328636,2660616,328092
cf_e,2048,1,sieve,ml,models/v8_cf_rfc.onnx,0.9,0,0,0,350792453,301430720,818983,0,31410803,0,17131947,48542750,852444,32235
cf_d,2048,1,gdsf,ml,models/v8_cf_rfc.onnx,0.95,0,0,0,633171872,529171252,186603,0,74905308,0,28908709,103814017,197391,10287
cf_d,2048,1,gdsf,ml,models/v8_cf_rfc.onnx,1,0,0,0,633171872,529185435,0,0,74905308,0,29081129,103986437,0,0
cf_e,2048,1,sieve,ml,models/v8_cf_rfc.onnx,1,0,0,0,350792453,301509675,0,0,31410803,0,17871975,49282778,0,0
cf_e,2048,1,fifo,ml,models/v8_cf_rfc.onnx,0.75,0,0,0,350792453,298493724,2988702,0,31410803,0,17899224,49310027,3612211,617721
cf_e,2048,1,gdsf,ml,models/v8_cf_rfc.onnx,0.75,0,0,0,350792453,305281177,2953040,0,31410803,0,11147433,42558236,3559301,596886
cf_e,2048,1,arc,ml,models/v8_cf_rfc.onnx,0.75,0,0,0,350792453,300046467,2619716,0,31410803,0,16715467,48126270,3136259,512570
cf_e,2048,1,fifo,ml,models/v8_cf_rfc.onnx,0.8,0,0,0,350792453,298677912,2236357,0,31410803,0,18467381,49878184,2568970,328725
cf_e,2048,1,arc,ml,models/v8_cf_rfc.onnx,0.8,0,0,0,350792453,300023762,1981663,0,31410803,0,17376225,48787028,2240964,256564
cf_e,2048,1,arc,ml,models/v8_cf_rfc.onnx,0.9,0,0,0,350792453,299796301,629205,0,31410803,0,18956144,50366947,652718,23202
cf_e,2048,1,arc,ml,models/v8_cf_rfc.onnx,1,0,0,0,350792453,299475682,0,0,31410803,0,19905968,51316771,0,0
cf_e,2048,1,arc,ml,models/v8_cf_rfc.onnx,0.85,0,0,0,350792453,299981317,1370830,0,31410803,0,18029503,49440306,1469537,97576
cf_e,2048,1,arc,ml,models/v8_cf_rfc.onnx,0.95,0,0,0,350792453,299563607,110600,0,31410803,0,19707443,51118246,111978,1362
cf_e,2048,1,fifo,ml,models/v8_cf_rfc.onnx,0.85,0,0,0,350792453,298847563,1553250,0,31410803,0,18980837,50391640,1682088,126981
cf_e,2048,1,gdsf,ml,models/v8_cf_rfc.onnx,0.8,0,0,0,350792453,305363244,2340396,0,31410803,0,11678010,43088813,2673043,325863
cf_e,2048,1,gdsf,ml,models/v8_cf_rfc.onnx,0.85,0,0,0,350792453,305488763,1670607,0,31410803,0,12222280,43633083,1801926,127795
cf_e,2048,1,gdsf,ml,models/v8_cf_rfc.onnx,0.9,0,0,0,350792453,305613766,819212,0,31410803,0,12948672,44359475,852578,32136
cf_e,2048,1,fifo,ml,models/v8_cf_rfc.onnx,0.9,0,0,0,350792453,299007450,753157,0,31410803,0,19621043,51031846,785491,31637
cf_e,2048,1,gdsf,ml,models/v8_cf_rfc.onnx,0.95,0,0,0,350792453,305681072,166206,0,31410803,0,13534372,44945175,168148,1853
cf_e,2048,1,gdsf,ml,models/v8_cf_rfc.onnx,1,0,0,0,350792453,305687817,0,0,31410803,0,13693833,45104636,0,0
cf_e,2048,1,fifo,ml,models/v8_cf_rfc.onnx,0.95,0,0,0,350792453,299114258,150732,0,31410803,0,20116660,51527463,152625,1839
cf_f,2048,1,lru,ml,models/v8_cf_rfc.onnx,0.8,0,0,0,390182208,338286607,2576848,0,32923596,0,16395157,49318753,2923025,339617
cf_f,2048,1,lru,ml,models/v8_cf_rfc.onnx,0.75,0,0,0,390182208,338196147,3196771,0,32923596,0,15865694,48789290,3826456,620752
cf_e,2048,1,fifo,ml,models/v8_cf_rfc.onnx,1,0,0,0,350792453,299135776,0,0,31410803,0,20245874,51656677,0,0
cf_f,2048,1,lru,ml,models/v8_cf_rfc.onnx,0.85,0,0,0,390182208,338426479,1882208,0,32923596,0,16949925,49873521,2021210,135427
cf_f,2048,1,lru,ml,models/v8_cf_rfc.onnx,0.9,0,0,0,390182208,338578617,900880,0,32923596,0,17779115,50702711,935848,33697
cf_f,2048,1,lru,ml,models/v8_cf_rfc.onnx,0.95,0,0,0,390182208,338648514,170341,0,32923596,0,18439757,51363353,172167,1759
cf_f,2048,1,lru,ml,models/v8_cf_rfc.onnx,1,0,0,0,390182208,338658196,0,0,32923596,0,18600416,51524012,0,0
cf_f,2048,1,sieve,ml,models/v8_cf_rfc.onnx,0.75,0,0,0,390182208,337435921,3213175,0,32923596,0,16609516,49533112,3847516,625547
cf_f,2048,1,sieve,ml,models/v8_cf_rfc.onnx,0.8,0,0,0,390182208,337552167,2561977,0,32923596,0,17144468,50068064,2908774,340343
cf_f,2048,1,sieve,ml,models/v8_cf_rfc.onnx,0.85,0,0,0,390182208,337689177,1853613,0,32923596,0,17715822,50639418,1992409,135278
cf_f,2048,1,sieve,ml,models/v8_cf_rfc.onnx,0.9,0,0,0,390182208,337851640,887616,0,32923596,0,18519356,51442952,922518,33638
cf_f,2048,1,sieve,ml,models/v8_cf_rfc.onnx,1,0,0,0,390182208,337945605,0,0,32923596,0,19313007,52236603,0,0
cf_f,2048,1,sieve,ml,models/v8_cf_rfc.onnx,0.95,0,0,0,390182208,337934541,169211,0,32923596,0,19154860,52078456,171030,1752
cf_f,2048,1,arc,ml,models/v8_cf_rfc.onnx,0.8,0,0,0,390182208,336260722,2194257,0,32923596,0,18803633,51727229,2460855,264524
cf_f,2048,1,arc,ml,models/v8_cf_rfc.onnx,0.75,0,0,0,390182208,336287283,2836210,0,32923596,0,18135119,51058715,3368639,529345
cf_f,2048,1,arc,ml,models/v8_cf_rfc.onnx,0.9,0,0,0,390182208,335967169,699820,0,32923596,0,20591623,53515219,724168,24071
cf_f,2048,1,arc,ml,models/v8_cf_rfc.onnx,0.85,0,0,0,390182208,336217524,1568130,0,32923596,0,19472958,52396554,1672309,103160
cf_f,2048,1,fifo,ml,models/v8_cf_rfc.onnx,0.75,0,0,0,390182208,334705329,3214962,0,32923596,0,19338321,52261917,3866008,643634
cf_f,2048,1,arc,ml,models/v8_cf_rfc.onnx,0.95,0,0,0,390182208,335676596,112208,0,32923596,0,21469808,54393404,113484,1264
cf_f,2048,1,arc,ml,models/v8_cf_rfc.onnx,1,0,0,0,390182208,335591777,0,0,32923596,0,21666835,54590431,0,0
cf_f,2048,1,fifo,ml,models/v8_cf_rfc.onnx,0.9,0,0,0,390182208,335250390,822882,0,32923596,0,21185340,54108936,857614,33825
cf_f,2048,1,fifo,ml,models/v8_cf_rfc.onnx,0.8,0,0,0,390182208,334894911,2450779,0,32923596,0,19912922,52836518,2799308,343438
cf_f,2048,1,gdsf,ml,models/v8_cf_rfc.onnx,0.8,0,0,0,390182208,341966430,2576620,0,32923596,0,12715562,45639158,2922522,339306
cf_f,2048,1,fifo,ml,models/v8_cf_rfc.onnx,0.85,0,0,0,390182208,335062394,1739213,0,32923596,0,20457005,53380601,1877813,136048
