infile,capacity_mb,key_sample_ratio,evict_expired,rv_enable,rv_min_ttl,rv_min_freq,rv_max_zone_amp,all,hit_fresh,hit_reval,hit_stale,miss_mandatory,miss_expired,miss_evicted,fetches,revals,reval_wasted
cf_c,2048,1,true,true,5,5,2,585034315,479173761,3352369,0,69164776,0,33343409,102508185,4720731,1338874
fb23_a,2048,1,true,true,30,5,2,50114817,26060400,233615,0,14706046,0,9114756,23820802,602225,368049
cf_e,2048,1,true,true,15,6,2,350792453,301891239,1338739,0,31410803,0,16151672,47562475,2272597,911556
fb23_b,2048,1,true,true,30,6,2,102880352,32516261,310438,0,36942641,0,33111012,70053653,976623,665260
fb23_b,2048,1,true,true,1,4,2,102880352,32483436,543468,0,36942641,0,32910807,69853448,1960232,1414972
cf_g,2048,1,true,true,5,6,2,305423259,255615808,1486816,0,30637283,0,17683352,48320635,2821374,1293943
fb23_a,2048,1,true,true,30,8,2,50114817,26077411,128497,0,14706046,0,9202863,23908909,331215,202399
fb23_a,2048,1,true,true,5,4,2,50114817,26047989,309513,0,14706046,0,9051269,23757315,868164,557860
cf_g,2048,1,true,true,60,6,2,305423259,255631992,1267763,0,30637283,0,17886221,48523504,2027271,718893
cf_g,2048,1,true,true,120,8,2,305423259,255679244,993675,0,30637283,0,18113057,48750340,1562289,538852
fb23_a,2048,1,true,true,45,3,2,50114817,26028943,426775,0,14706046,0,8953053,23659099,1439940,1011677
cf_g,2048,1,true,true,15,6,2,305423259,255616625,1468154,0,30637283,0,17701197,48338480,2552341,1043572
fb23_a,2048,1,true,true,45,6,2,50114817,26068076,187442,0,14706046,0,9153253,23859299,481274,293390
fb23_a,2048,1,true,true,30,6,2,50114817,26068076,187445,0,14706046,0,9153250,23859296,481303,293416
fb23_c,2048,1,true,true,30,5,2,96069531,37271927,414860,0,34573902,0,23808842,58382744,1488308,1072080
fb23_a,2048,1,true,true,120,2,2,50114817,25996495,662616,0,14706046,0,8749660,23455706,4012583,3346531
cf_a,2048,1,true,true,30,3,2,611934080,545394368,4241599,0,39393977,0,22904136,62298113,6860438,2586194
cf_e,2048,1,true,true,45,1,2,350792453,301217503,4905137,0,31410803,0,13259010,44669813,19814626,14758180
cf_a,2048,1,true,true,15,6,2,611934080,545708241,2562629,0,39393977,0,24269233,63663210,3567787,992923
fb23_a,2048,1,true,true,60,3,2,50114817,26028943,426775,0,14706046,0,8953053,23659099,1439940,1011677
cf_c,2048,1,true,true,30,3,2,585034315,478854789,4356471,0,69164776,0,32658279,101823055,7582266,3170138
cf_a,2048,1,true,true,45,8,2,611934080,545807711,1680326,0,39393977,0,25052066,64446043,2359896,671064
fb23_c,2048,1,true,true,45,6,2,96069531,37285000,330510,0,34573902,0,23880119,58454021,1123526,791991
cf_g,2048,1,true,true,30,5,2,305423259,255571880,1700441,0,30637283,0,17513655,48150938,3071081,1321079
cf_c,2048,1,true,true,15,1,2,585034315,477387599,8157499,0,69164776,0,30324441,99489217,42476212,34038784
cf_e,2048,1,true,true,5,5,2,350792453,301840879,1637837,0,31410803,0,15902934,47313737,3009064,1344882
fb23_c,2048,1,true,true,45,3,2,96069531,37207769,804285,0,34573902,0,23483575,58057477,3351658,2544010
cf_c,2048,1,true,true,15,6,2,585034315,479288862,2575134,0,69164776,0,34005543,103170319,3583100,984541
fb23_c,2048,1,true,true,60,6,2,96069531,37285000,330510,0,34573902,0,23880119,58454021,1123526,791991
cf_a,2048,1,true,true,60,6,2,611934080,545747051,2073980,0,39393977,0,24719072,64113049,3017704,931489
cf_e,2048,1,true,true,15,8,2,350792453,301944247,1030382,0,31410803,0,16407021,47817824,1718505,670786
fb23_b,2048,1,true,true,120,2,2,102880352,32380223,1346968,0,36942641,0,32210520,69153161,9759941,8404854
fb23_b,2048,1,true,true,45,5,2,102880352,32504340,395510,0,36942641,0,33037861,69980502,1316056,919329
cf_c,2048,1,true,true,30,2,2,585034315,478483362,5653088,0,69164776,0,31733089,100897865,12733978,6984690
cf_g,2048,1,true,true,5,5,2,305423259,255570442,1725528,0,30637283,0,17490006,48127289,3441553,1666464
fb23_c,2048,1,true,true,15,1,2,96069531,37008873,2620150,0,34573902,0,21866606,56440508,57998253,55304508
cf_e,2048,1,true,true,45,8,2,350792453,301948459,963390,0,31410803,0,16469801,47880604,1516484,535757
fb23_a,2048,1,true,true,1,2,2,50114817,25996400,663970,0,14706046,0,8748401,23454447,4022855,3355449
fb23_c,2048,1,true,true,30,1,2,96069531,37008873,2620150,0,34573902,0,21866606,56440508,57998252,55304507
cf_g,2048,1,true,true,1,8,2,305423259,255664737,1223077,0,30637283,0,17898162,48535445,2148287,895448
fb23_c,2048,1,true,true,120,1,2,96069531,37009637,2611878,0,34573902,0,21874114,56448016,57642906,54957433
fb23_a,2048,1,true,true,60,1,2,50114817,25945425,1237060,0,14706046,0,8226286,22932332,22789822,21527195
fb23_b,2048,1,true,true,45,3,2,102880352,32448992,790928,0,36942641,0,32697791,69640432,3250744,2456837
cf_c,2048,1,true,true,30,5,2,585034315,479203180,2977300,0,69164776,0,33689059,102853835,4309300,1302512
cf_e,2048,1,true,true,15,3,2,350792453,301658226,2497530,0,31410803,0,15225894,46636697,4793739,2254419
cf_g,2048,1,true,true,120,3,2,305423259,255451526,2120989,0,30637283,0,17213461,47850744,3895839,1690376
cf_c,2048,1,true,true,1,4,2,585034315,479012208,4037423,0,69164776,0,32819908,101984684,6037270,1960852
fb23_a,2048,1,true,true,30,4,2,50114817,26047989,309513,0,14706046,0,9051269,23757315,868164,557860
fb23_c,2048,1,true,true,45,2,2,96069531,37134349,1313828,0,34573902,0,23047452,57621354,8074806,6752960
fb23_a,2048,1,true,true,5,8,2,50114817,26077411,128497,0,14706046,0,9202863,23908909,331215,202399
cf_e,2048,1,true,true,120,2,2,350792453,301531035,3082528,0,31410803,0,14768087,46178890,6370259,3225477
fb23_c,2048,1,true,true,5,3,2,96069531,37207580,806266,0,34573902,0,23481783,58055685,3354331,2544702
cf_c,2048,1,true,true,30,7,2,585034315,479353450,2227461,0,69164776,0,34288628,103453404,3023077,776211
cf_c,2048,1,true,true,15,7,2,585034315,479352542,2236585,0,69164776,0,34280412,103445188,3032362,776372
cf_c,2048,1,true,true,5,4,2,585034315,479021566,3988682,0,69164776,0,32859291,102024067,5977983,1950306
cf_g,2048,1,true,true,30,2,2,305423259,255222934,3388331,0,30637283,0,16174711,46811994,8967609,5456037
cf_g,2048,1,true,true,60,2,2,305423259,255289165,2929911,0,30637283,0,16566900,47204183,6272380,3219228
fb23_b,2048,1,true,true,60,6,2,102880352,32516268,310319,0,36942641,0,33111124,70053765,976495,665251
cf_g,2048,1,true,true,30,6,2,305423259,255616738,1466983,0,30637283,0,17702255,48339538,2551131,1043533
cf_g,2048,1,true,true,1,3,2,305423259,255354997,2804304,0,30637283,0,16626675,47263958,6590649,3701871
cf_a,2048,1,true,true,30,4,2,611934080,545546244,3463739,0,39393977,0,23530120,62924097,5166005,1681122
cf_e,2048,1,true,true,1,2,22,335079245,301927625,1085986,0,31410803,0,,14138895,455496981711979,606601
fb23_b,2048,1,true,true,5,1,2,102880352,32254302,3026991,0,36942641,0,30656418,67599059,68120451,65016116
cf_a,2048,1,true,true,120,7,2,611934080,545787223,1801027,0,39393977,0,24951853,64345830,2585346,774234
cf_e,2048,1,true,true,60,3,2,350792453,301684251,2308411,0,31410803,0,15388988,46799791,4037571,1687377
fb23_b,2048,1,true,true,30,2,2,102880352,32380044,1348484,0,36942641,0,32209183,69151824,9761674,8405071
fb23_a,2048,1,true,true,5,1,2,50114817,25945261,1241318,0,14706046,0,8222192,22928238,23144673,21877788
fb23_c,2048,1,true,true,30,2,2,96069531,37133912,1317890,0,34573902,0,23043827,57617729,8083605,6757697
cf_g,2048,1,true,true,45,2,2,305423259,255289143,2930033,0,30637283,0,16566800,47204083,6272783,3219509
cf_e,2048,1,true,true,120,8,2,350792453,301949535,952432,0,31410803,0,16479683,47890486,1497986,528217
cf_a,2048,1,true,true,120,4,2,611934080,545638876,2645355,0,39393977,0,24255872,63649849,4203220,1536724
cf_a,2048,1,true,true,45,4,2,611934080,545623216,2759294,0,39393977,0,24157593,63551570,4337083,1556646
fb23_b,2048,1,true,true,60,5,2,102880352,32504340,395510,0,36942641,0,33037861,69980502,1316056,919329
cf_e,2048,1,true,true,5,6,2,350792453,301888914,1383209,0,31410803,0,16109527,47520330,2484469,1078958
cf_e,2048,1,true,true,60,7,2,350792453,301927625,1085985,0,31410803,0,16368040,47778843,1711976,606599
cf_a,2048,1,true,true,45,6,2,611934080,545746986,2074435,0,39393977,0,24718682,64112659,3018582,931912
cf_c,2048,1,true,true,1,8,2,585034315,479385841,2257459,0,69164776,0,34226239,103391015,2929013,655296
cf_e,2048,1,true,true,45,6,2,350792453,301898883,1248596,0,31410803,0,16234171,47644974,1978649,707752
fb23_b,2048,1,true,true,60,2,2,102880352,32380223,1346968,0,36942641,0,32210520,69153161,9759941,8404854
fb23_a,2048,1,true,true,15,1,2,50114817,25945261,1241318,0,14706046,0,8222192,22928238,23144672,21877787
cf_e,2048,1,true,true,120,1,2,350792453,301240758,4757204,0,31410803,0,13383688,44794491,19166505,14258000
cf_e,2048,1,true,true,30,8,2,350792453,301944399,1028242,0,31410803,0,16409009,47819812,1716306,670727
cf_c,2048,1,true,true,60,1,2,585034315,477561375,6998552,0,69164776,0,31309612,100474388,32889157,25610953
cf_e,2048,1,true,true,30,1,2,350792453,301156043,5350110,0,31410803,0,12875497,44286300,24770100,19268639
cf_c,2048,1,true,true,5,1,2,585034315,477272190,9096065,0,69164776,0,29501284,98666060,49815040,40438995
fb23_a,2048,1,true,true,15,3,2,50114817,26028914,427032,0,14706046,0,8952825,23658871,1440578,1012058
fb23_c,2048,1,true,true,30,6,2,96069531,37284974,330811,0,34573902,0,23879844,58453746,1123977,792141
cf_c,2048,1,true,true,120,5,2,585034315,479276577,2395948,0,69164776,0,34197014,103361790,3637356,1211924
fb23_c,2048,1,true,true,45,4,2,96069531,37248793,557175,0,34573902,0,23689661,58263563,2108265,1549125
fb23_a,2048,1,true,true,5,6,2,50114817,26068076,187445,0,14706046,0,9153250,23859296,481303,293416
fb23_b,2048,1,true,true,30,1,2,102880352,32254302,3026991,0,36942641,0,30656418,67599059,68120448,65016113
