in,gib,ksr,mode,model,mlthres,rv_min_ttl,rv_min_freq,rv_max_za,all,hit_fresh,hit_reval,hit_stale,miss_mandatory,miss_expired,miss_evicted,fetches,revals,reval_wasted
fb_c,2048,1,ml,models/v7_cf_rfc.onnx,0.55,0,0,0,96068462,51669430,494638,0,34573735,0,9330659,43904394,850652,340735
fb_c,2048,1,ml,models/v7_cf_rfc.onnx,0.6,0,0,0,96068462,51688827,352861,0,34573735,0,9453039,44026774,656302,288336
fb_c,2048,1,ml,models/v7_cf_rfc.onnx,0.65,0,0,0,96068462,51726475,130372,0,34573735,0,9637880,44211615,339150,196905
fb_b,2048,1,ml,models/v7_cf_rfc.onnx,0.75,0,0,0,102876031,51041259,76392,0,36942103,0,14816277,51758380,138255,58204
fb_b,2048,1,ml,models/v7_cf_rfc.onnx,0.85,0,0,0,102876031,51055254,41836,0,36942103,0,14836838,51778941,61146,17887
fb_b,2048,1,ml,models/v7_cf_rfc.onnx,0.9,0,0,0,102876031,51063243,26722,0,36942103,0,14843963,51786066,31585,4214
fb_b,2048,1,ml,models/v7_cf_rfc.onnx,0.8,0,0,0,102876031,51048038,57503,0,36942103,0,14828387,51770490,95149,35203
fb_c,2048,1,ml,models/v7_cf_rfc.onnx,0.7,0,0,0,96068462,51736459,91430,0,34573735,0,9666838,44240573,165188,69671
fb_b,2048,1,ml,models/v7_cf_rfc.onnx,0.95,0,0,0,102876031,51072851,3300,0,36942103,0,14857777,51799880,3495,131
fb_b,2048,1,ml,models/v7_cf_rfc.onnx,1,0,0,0,102876031,51073999,0,0,36942103,0,14859929,51802032,0,0
fb_c,2048,1,ml,models/v7_cf_rfc.onnx,0.75,0,0,0,96068462,51738637,83115,0,34573735,0,9672975,44246710,147736,60847
fb_c,2048,1,ml,models/v7_cf_rfc.onnx,0.8,0,0,0,96068462,51743296,68286,0,34573735,0,9683145,44256880,112101,41014
fb_c,2048,1,ml,models/v7_cf_rfc.onnx,0.85,0,0,0,96068462,51750419,44692,0,34573735,0,9699616,44273351,62946,16497
fb_c,2048,1,ml,models/v7_cf_rfc.onnx,0.9,0,0,0,96068462,51758105,26834,0,34573735,0,9709788,44283523,31140,3458
fb_c,2048,1,ml,models/v7_cf_rfc.onnx,0.95,0,0,0,96068462,51767560,2807,0,34573735,0,9724360,44298095,2944,79
fb_c,2048,1,ml,models/v7_cf_rfc.onnx,1,0,0,0,96068462,51768377,0,0,34573735,0,9726350,44300085,0,0
wm_t,2048,1,ml,models/v7_cf_rfc.onnx,0.9,0,0,0,197819321,150786352,2641653,0,17895056,0,26496260,44391316,2663460,14775
wm_t,2048,1,ml,models/v7_cf_rfc.onnx,0.85,0,0,0,197819321,150255169,6215442,0,17895056,0,23453654,41348710,6473874,216621
wm_t,2048,1,ml,models/v7_cf_rfc.onnx,0.85,0,0,0,197819321,150255169,6215442,0,17895056,0,23453654,41348710,6473874,216621
wm_t,2048,1,ml,models/v7_cf_rfc.onnx,0.8,0,0,0,197819321,149794301,8631904,0,17895056,0,21498060,39393116,9402110,681157
wm_t,2048,1,ml,models/v7_cf_rfc.onnx,0.75,0,0,0,197819321,149276061,11258203,0,17895056,0,19390001,37285057,13197383,1759574
wm_t,2048,1,ml,models/v7_cf_rfc.onnx,0.7,0,0,0,197819321,148967664,12810596,0,17895056,0,18146005,36041061,15631376,2572883
wm_t,2048,1,ml,models/v7_cf_rfc.onnx,0.65,0,0,0,197819321,148491360,15364010,0,17895056,0,16068895,33963951,20495844,4730183
cf_e,2048,1,ml,models/v7_cf_rfc.onnx,0.55,0,0,0,350792453,301272394,6027544,0,31410803,0,12081712,43492515,428395705,422330712
wm_t,2048,1,ml,models/v7_cf_rfc.onnx,0.95,0,0,0,197819321,150947479,52458,0,17895056,0,28924328,46819384,52657,142
wm_t,2048,1,ml,models/v7_cf_rfc.onnx,1,0,0,0,197819321,150948566,0,0,17895056,0,28975699,46870755,0,0
wm_t,2048,1,ml,models/v7_cf_rfc.onnx,0.6,0,0,0,197819321,147982279,18274009,0,17895056,0,13667977,31563033,27451775,8534800
wm_t,2048,1,ml,models/v7_cf_rfc.onnx,0.55,0,0,0,197819321,147658611,20316764,0,17895056,0,11948890,29843946,33721005,12494025
cf_e,2048,1,ml,models/v7_cf_rfc.onnx,1,0,0,0,350792453,302232510,0,0,31410803,0,17149140,48559943,0,0
cf_g,2048,1,ml,models/v7_cf_rfc.onnx,0.55,0,0,0,305423259,255201351,7014401,0,30637283,0,12570224,43207507,821667786,814613767
